background,body,earrings,face,gender,head,outfit,title,description,media,tags,rarity_score,rarity_rank
WINTER,COSMIC,GOLD PLATE EARRING,BLUE-EYED SEDUCTION,FEMALE,GINGER SHORT BANG,LADY BEAR COSPLAY,Anon #3716,A COSMIC ANON,ipfs://QmNNKZm14nwDavtGvBPYjYnfGGyZ92XB8ucrtnwdDADxii/3716.png,[],33.351119216495015,16.0
FORREST,COCOA,MINI GOLD HOOP EARRING,GREEN-EYED SEDUCTION,FEMALE,CHARCOAL GIANT RIBBON,WHITE BUTTONED SUIT,Anon #1274,A COCOA ANON,ipfs://QmNNKZm14nwDavtGvBPYjYnfGGyZ92XB8ucrtnwdDADxii/1274.png,[],33.324036397858066,17.0
STONE,COCOA,SILVER PEARL EARRING,GREEN-EYED SHOCK,FEMALE,GREEN GIANT RIBBON,WHITE BUTTONED SUIT,Anon #4125,A COCOA ANON,ipfs://QmNNKZm14nwDavtGvBPYjYnfGGyZ92XB8ucrtnwdDADxii/4125.png,[],33.31442093915862,18.0
SKY,MORTAL,SILVER PEARL DROP EARRING,BLUE-EYED SEDUCTION,FEMALE,BLUE GIANT RIBBON,GREY COAT,Anon #534,A MORTAL ANON,ipfs://QmNNKZm14nwDavtGvBPYjYnfGGyZ92XB8ucrtnwdDADxii/534.png,[],33.2378667211526,19.0
WINTER,COCOA,BIG SILVER HOOP EARRING,BROWN-EYED INTENSITY,FEMALE,BROWN PONNYTAIL,RED CHEER UNIFORM,Anon #421,A COCOA ANON,ipfs://QmNNKZm14nwDavtGvBPYjYnfGGyZ92XB8ucrtnwdDADxii/421.png,[],33.17676582935024,20.0
COLD,PEACHY,MINI GOLD PEARL EARRING,BROWN-EYED SHOCK,FEMALE,BLONDE MONROE,WHITE BUTTONED SUIT,Anon #3855,A PEACHY ANON,ipfs://QmNNKZm14nwDavtGvBPYjYnfGGyZ92XB8ucrtnwdDADxii/3855.png,[],33.168089843353435,21.0
SPRING,COCOA,SILVER THROUGH EARRING,BROWN-EYED SHOCK,FEMALE,RED GIANT RIBBON,DARK COAT,Anon #1579,A COCOA ANON,ipfs://QmNNKZm14nwDavtGvBPYjYnfGGyZ92XB8ucrtnwdDADxii/1579.png,[],33.083401321042004,22.0
HEAT,MORTAL,GOLD PEARL EARRING,BLUE-EYED CONFIDENCE,FEMALE,DARK PONYTAIL,PURPLE CHEER UNIFORM,Anon #2533,A MORTAL ANON,ipfs://QmNNKZm14nwDavtGvBPYjYnfGGyZ92XB8ucrtnwdDADxii/2533.png,[],33.08109021924767,23.0
COLD,COCOA,SILVER DROP EARRING,GREEN-EYED SEDUCTION,FEMALE,BROWN WAVY,LADY BEAR COSPLAY,Anon #1372,A COCOA ANON,ipfs://QmNNKZm14nwDavtGvBPYjYnfGGyZ92XB8ucrtnwdDADxii/1372.png,[],33.070528505218874,24.0
FURNACE,PEACHY,GOLD DROP EARRING,BROWN-EYED SHOCK,FEMALE,BLACK SHORT BANG,COLOURFUL FIRAQ,Anon #750,A PEACHY ANON,ipfs://QmNNKZm14nwDavtGvBPYjYnfGGyZ92XB8ucrtnwdDADxii/750.png,[],33.065485371181424,25.0
FORREST,MORTAL,GOLD PEARL DROP EARRING,BROWN-EYED SHOCK,FEMALE,RED BERET,MAGENTA SUIT,Anon #4544,A MORTAL ANON,ipfs://QmNNKZm14nwDavtGvBPYjYnfGGyZ92XB8ucrtnwdDADxii/4544.png,[],33.04182317341103,26.0
STONE,COCOA,GOLD PLATE EARRING,GREEN-EYED CONFIDENCE,FEMALE,BLONDE AUDREY,RED CHEER UNIFORM,Anon #1442,A COCOA ANON,ipfs://QmNNKZm14nwDavtGvBPYjYnfGGyZ92XB8ucrtnwdDADxii/1442.png,[],33.0039470824515,27.0
NORTH,MORTAL,MINI GOLD HOOP EARRING,BROWN-EYED CONFIDENCE,FEMALE,GREEN BERET,RED ROSE DRESS,Anon #1751,A MORTAL ANON,ipfs://QmNNKZm14nwDavtGvBPYjYnfGGyZ92XB8ucrtnwdDADxii/1751.png,[],32.97531843481992,28.0
LEMON,ROSÉ,MINI SILVER PEARL EARRING,BLUE-EYED SHOCK,FEMALE,BROWN SHORT BANG,RED ROSE DRESS,Anon #3349,A ROSÉ ANON,ipfs://QmNNKZm14nwDavtGvBPYjYnfGGyZ92XB8ucrtnwdDADxii/3349.png,[],32.96361127360428,29.0
NORTH,PEACHY,MINI GOLD EARRING,BLUE-EYED SEDUCTION,FEMALE,BLUE BERET,WHITE TUNIC,Anon #2313,A PEACHY ANON,ipfs://QmNNKZm14nwDavtGvBPYjYnfGGyZ92XB8ucrtnwdDADxii/2313.png,[],32.900993337559434,30.0
BERRIES,COSMIC,BIG SILVER HOOP EARRING,BROWN-EYED CONFIDENCE,FEMALE,BROWN MONROE,CYBER LEATHER JACKET,Anon #4051,A COSMIC ANON,ipfs://QmNNKZm14nwDavtGvBPYjYnfGGyZ92XB8ucrtnwdDADxii/4051.png,[],32.87411952717907,31.0
FURNACE,COCOA,BIG GOLD HOOP EARRING,BLUE-EYED SEDUCTION,FEMALE,DARK MONROE,PINK HANBOK,Anon #1894,A COCOA ANON,ipfs://QmNNKZm14nwDavtGvBPYjYnfGGyZ92XB8ucrtnwdDADxii/1894.png,[],32.861027104291374,32.0
SPRING,COCOA,SILVER PEARL EARRING,GREEN-EYED SHOCK,FEMALE,BROWN MONROE,DARK SUIT,Anon #2815,A COCOA ANON,ipfs://QmNNKZm14nwDavtGvBPYjYnfGGyZ92XB8ucrtnwdDADxii/2815.png,[],32.84660110499624,33.0
SUNSET,ROSÉ,MINI SILVER EARRING,BROWN-EYED SEDUCTION,FEMALE,DARK AUDREY,YELLOW NINJA ARMOUR,Anon #966,A ROSÉ ANON,ipfs://QmNNKZm14nwDavtGvBPYjYnfGGyZ92XB8ucrtnwdDADxii/966.png,[],32.82961955845024,34.0
FROST,MORTAL,SILVER PEARL DROP EARRING,GREEN-EYED SHOCK,FEMALE,BLONDE WAVY,RED CHEER UNIFORM,Anon #4105,A MORTAL ANON,ipfs://QmNNKZm14nwDavtGvBPYjYnfGGyZ92XB8ucrtnwdDADxii/4105.png,[],32.77576678630994,35.0
MARSHMALLOW,COCOA,SILVER PEARL EARRING,BLUE-EYED CONFIDENCE,FEMALE,GINGER PONYTAIL,GREY COAT,Anon #3747,A COCOA ANON,ipfs://QmNNKZm14nwDavtGvBPYjYnfGGyZ92XB8ucrtnwdDADxii/3747.png,[],32.76489765359228,36.0
DUSK,COCOA,GOLD PEARL EARRING,BROWN-EYED INTENSITY,FEMALE,GINGER SHORT BANG,PINK HANBOK,Anon #4096,A COCOA ANON,ipfs://QmNNKZm14nwDavtGvBPYjYnfGGyZ92XB8ucrtnwdDADxii/4096.png,[],32.75276021332633,37.0
MIDNIGHT,ROSÉ,BIG PEARL EARRING,BLUE-EYED CONFIDENCE,FEMALE,BROWN MONROE,WHITE BUTTONED SUIT,Anon #1357,A ROSÉ ANON,ipfs://QmNNKZm14nwDavtGvBPYjYnfGGyZ92XB8ucrtnwdDADxii/1357.png,[],32.741738370491525,38.0
WINTER,MORTAL,MINI SILVER HOOP EARRING,BROWN-EYED SEDUCTION,FEMALE,BLONDE SHORT BANG,YELLOW CLUELESS SUIT,Anon #2131,A MORTAL ANON,ipfs://QmNNKZm14nwDavtGvBPYjYnfGGyZ92XB8ucrtnwdDADxii/2131.png,[],32.69893036898689,39.0
NATURE,PEACHY,MINI GOLD PEARL EARRING,GREEN-EYED INTENSITY,FEMALE,DARK MONROE,MAGENTA SUIT,Anon #911,A PEACHY ANON,ipfs://QmNNKZm14nwDavtGvBPYjYnfGGyZ92XB8ucrtnwdDADxii/911.png,[],32.666040300562095,40.0
FROST,ROSÉ,BIG PEARL EARRING,GREEN-EYED INTENSITY,FEMALE,CHARCOAL BERET,GREY COAT,Anon #2525,A ROSÉ ANON,ipfs://QmNNKZm14nwDavtGvBPYjYnfGGyZ92XB8ucrtnwdDADxii/2525.png,[],32.6643259137756,41.0
