title,description,background,face,body,weapon,head,necklace,media,tags,rarity_score,rarity_rank
Ninja #3948,It's time.,Orange,Double Staff,White Ninja,Joint,Army Helmet,Silver Chain,ipfs://QmVqDbPw7b9q2M5wrwc8RrkFzXdtuzvNeHXN5H5Z86q1Yx/3948.jpeg,[],31.67171139379501,1427.0
Ninja #1799,It's time.,Sand,Nan,Gold Ninja,Laser Eyes,Antlers,Silver Chain,ipfs://QmVqDbPw7b9q2M5wrwc8RrkFzXdtuzvNeHXN5H5Z86q1Yx/1799.jpeg,[],31.671697252958108,1428.0
Ninja #2997,It's time.,Red,Gold Sword,Purple Ninja,Cigarette,Headphones,Cross Necklace,ipfs://QmVqDbPw7b9q2M5wrwc8RrkFzXdtuzvNeHXN5H5Z86q1Yx/2997.jpeg,[],31.671534958068882,1429.0
Ninja #5173,It's time.,Red,Gold Bow,Green Ninja,Pipe,Army Helmet,Nan,ipfs://QmVqDbPw7b9q2M5wrwc8RrkFzXdtuzvNeHXN5H5Z86q1Yx/5173.jpeg,[],31.67052736483919,1430.0
Ninja #2707,It's time.,Lilac,Shuriken,Black Ninja,Nan,Beret,Silver Chain,ipfs://QmVqDbPw7b9q2M5wrwc8RrkFzXdtuzvNeHXN5H5Z86q1Yx/2707.jpeg,[],31.670235430376028,1431.0
Ninja #4949,It's time.,Glow,Staff,Grey Ninja,Jason Mask,Arrow,Gold Chain,ipfs://QmVqDbPw7b9q2M5wrwc8RrkFzXdtuzvNeHXN5H5Z86q1Yx/4949.jpeg,[],31.6701012870015,1432.0
Ninja #5049,It's time.,Scripture,Ball And Chain,Green Ninja,Cigarette,Antlers,Cross Necklace,ipfs://QmVqDbPw7b9q2M5wrwc8RrkFzXdtuzvNeHXN5H5Z86q1Yx/5049.jpeg,[],31.66993968560515,1433.0
Ninja #4321,It's time.,Lilac,Red Sword,Gold Ninja,Ghost Mask,Horns,Green Glow,ipfs://QmVqDbPw7b9q2M5wrwc8RrkFzXdtuzvNeHXN5H5Z86q1Yx/4321.jpeg,[],31.669033136486682,1434.0
Ninja #2174,It's time.,Lilac,Ball And Chain,Black Ninja,Jason Mask,Wreath,Cross Necklace,ipfs://QmVqDbPw7b9q2M5wrwc8RrkFzXdtuzvNeHXN5H5Z86q1Yx/2174.jpeg,[],31.668733830234967,1435.0
Ninja #4845,It's time.,Mountain,Nunchucks,Green Ninja,Joint,Crown,Green Glow,ipfs://QmVqDbPw7b9q2M5wrwc8RrkFzXdtuzvNeHXN5H5Z86q1Yx/4845.jpeg,[],31.668715618145523,1436.0
